DEPARTMENT;SYMPTOMATIC_RATE;CALCULATED_RATE
AMAZONAS;0,276923077; 5,52 
ANTIOQUIA;1,907692308; 38,01 
ARAUCA;0;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;0;0
ATLANTICO;0,307692308; 6,13 
BOGOTA D.C.;5,092307692; 101,47 
BOLIVAR;0,292307692; 5,82 
BOYACA;0,030769231; 0,61 
CALDAS;0,153846154; 3,07 
CAQUETA;0,015384615; 0,31 
CASANARE;0,015384615; 0,31 
CAUCA;0,046153846; 0,92 
CESAR;0,046153846; 0,92 
CHOCO;0;0
CORDOBA;0,015384615; 0,31 
CUNDINAMARCA;0,523076923; 10,42 
GUAINIA;0;0
GUAVIARE;0;0
HUILA;0,153846154; 3,07 
LA GUAJIRA;0,030769231; 0,61 
MAGDALENA;0,046153846; 0,92 
META;0,215384615; 4,29 
NARINO;0,169230769; 3,37 
NORTE DE SANTANDER;0,2; 3,99 
PUTUMAYO;0;0
QUINDIO;0,261538462; 5,21 
RISARALDA;0,4; 7,97 
SANTANDER;0,2; 3,99 
SUCRE;0;0
TOLIMA;0,184615385; 3,68 
VALLE;1,753846154; 34,95 
VAUPES;0;0
VICHADA;0;0
